raw_name,canonical_org,org_type,canonical_homepage_url,facility_name,facility_city,facility_state,facility_country,facility_url,notes
LKQ Pick Your Part – Ohio,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Ohio,,,US,,
LKQ Pick Your Part – Tennessee,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Tennessee,,,US,,
LKQ Pick Your Part – Wisconsin,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Wisconsin,,,US,,
LKQ Pick Your Part – Florida,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Florida,,,US,,
LKQ Pick Your Part – North Carolina,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,North Carolina,,,US,,
LKQ Pick Your Part – South Carolina,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,South Carolina,,,US,,
LKQ Pick Your Part – Georgia,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Georgia,,,US,,
LKQ Pick Your Part – Nevada,LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Nevada,,,US,,
LKQ Self-Service Auto Parts (Canada/U.S.),LKQ Pick Your Part,Auto U-Pull,https://www.lkqpickyourpart.com/,Service Auto Parts (Canada/U.S.),,,US,,
LKQ Pull-A-Part (legacy rebrands),LKQ Corporation,Auto U-Pull,https://www.lkqcorp.com/,A-Part (legacy rebrands),,,US,,
Just LKQ = ~70 yards,LKQ Corporation,Auto U-Pull,https://www.lkqcorp.com/,,,,US,,
"Pull-A-Part (multi-state, major tonnage)","Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,"A-Part (multi-state, major tonnage)",,,US,,
~25 locations,~25 locations,Unknown,,,,,US,,
Pull-A-Part – Alabama (Birmingham),"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Alabama (Birmingham),,,US,,
Pull-A-Part – Atlanta (2),"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Atlanta (2),,,US,,
Pull-A-Part – Louisville,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Louisville,,,US,,
Pull-A-Part – Nashville,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Nashville,,,US,,
Pull-A-Part – Knoxville,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Knoxville,,,US,,
Pull-A-Part – Memphis,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Memphis,,,US,,
Pull-A-Part – Baton Rouge,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Baton Rouge,,,US,,
Pull-A-Part – Indianapolis,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Indianapolis,,,US,,
Pull-A-Part – Dayton,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Dayton,,,US,,
Pull-A-Part – Akron,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Akron,,,US,,
Pull-A-Part – Cleveland,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Cleveland,,,US,,
Pull-A-Part – Canton,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Canton,,,US,,
Pull-A-Part – Youngstown,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Youngstown,,,US,,
Pull-A-Part – Tucson (legacy),"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – Tucson (legacy),,,US,,
Pull-A-Part – South Carolina (Columbia),"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part – South Carolina (Columbia),,,US,,
Pull-A-Part = ~25 yards,"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part = ~25 yards,,,US,,
U-Pull-And-Pay (UPAP — part of Schnitzer/Radius),Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,Pull-And-Pay (UPAP — part of Schnitzer/Radius),,,US,,
~16 Yards,~16 Yards,Unknown,,,,,US,,
"Colorado (Aurora, Denver, Colorado Springs)","Colorado (Aurora, Denver, Colorado Springs)",Unknown,,,,,US,,
"Florida (Orlando, Tampa, West Palm)","Florida (Orlando, Tampa, West Palm)",Unknown,,,,,US,,
New Mexico (Albuquerque),New Mexico (Albuquerque),Unknown,,,,,US,,
"Ohio (Cincinnati, Dayton)","Ohio (Cincinnati, Dayton)",Unknown,,,,,US,,
Pennsylvania (Philadelphia area),Pennsylvania (Philadelphia area),Unknown,,,,,US,,
Louisiana (New Orleans),Louisiana (New Orleans),Unknown,,,,,US,,
"Florida (West Palm, Fort Myers)","Florida (West Palm, Fort Myers)",Unknown,,,,,US,,
Indiana (Indianapolis),Indiana (Indianapolis),Unknown,,,,,US,,
UPAP = ~16 yards,UPAP = ~16 yards,Unknown,,,,,US,,
You Pull It / U-Pull-It “branded chains”,Independent U-Pull-It,Auto U-Pull,,Pull-It “branded chains”,,,US,,
"(multiple owners, similar name)","(multiple owners, similar name)",Unknown,,,,,US,,
~10–12 total among these brand names:,~10–12 total among these brand names:,Unknown,,12 total among these brand names:,,,US,,
U-Pull-It Omaha,Independent U-Pull-It,Auto U-Pull,,Pull-It Omaha,,,US,,
U-Pull-It Springfield MO,Independent U-Pull-It,Auto U-Pull,,Pull-It Springfield MO,,,US,,
U-Pull-It Memphis (non-LKQ),LKQ Corporation,Auto U-Pull,https://www.lkqcorp.com/,Pull-It Memphis (non-LKQ),,,US,,
You-Pull-It Flint MI,Independent U-Pull-It,Auto U-Pull,,Pull-It Flint MI,,,US,,
U-Pull-It Norfolk/VA Beach,Independent U-Pull-It,Auto U-Pull,,Pull-It Norfolk/VA Beach,,,US,,
🟦 2. Regional Chains (2–20 yards each),🟦 2. Regional Chains (2–20 yards each),Unknown,,20 yards each),,,US,,
We Buy Junk Cars / Self-Service Auto Group,We Buy Junk Cars / Self-Service Auto Group,Unknown,,Service Auto Group,,,US,,
~8–10 yards,~8–10 yards,Unknown,,10 yards,,,US,,
(Regional Southeast + Midwest),(Regional Southeast + Midwest),Unknown,,,,,US,,
Pick-A-Part (various non-LKQ versions),LKQ Corporation,Auto U-Pull,https://www.lkqcorp.com/,A-Part (various non-LKQ versions),,,US,,
Mesa AZ,Mesa AZ,Unknown,,,,,US,,
Phoenix AZ,Phoenix AZ,Unknown,,,,,US,,
Riverside CA,Riverside CA,Unknown,,,,,US,,
Nashville TN,Nashville TN,Unknown,,,,,US,,
Indianapolis IN,Indianapolis IN,Unknown,,,,,US,,
~10 yards total,~10 yards total,Unknown,,,,,US,,
"Pick-N-Pull (Massive chain, owned by Schnitzer / Radius)",Radius Recycling (Schnitzer Steel),Scrap Yard,https://www.radiusrecycling.com/,"N-Pull (Massive chain, owned by Schnitzer / Radius)",,,US,,
~50 locations,~50 locations,Unknown,,,,,US,,
"California (Sacramento, Richmond, Stockton, Modesto, San Jose, etc.)","California (Sacramento, Richmond, Stockton, Modesto, San Jose, etc.)",Unknown,,,,,US,,
"Nevada (Reno, Sparks)","Nevada (Reno, Sparks)",Unknown,,,,,US,,
"Utah (Ogden, Provo)","Utah (Ogden, Provo)",Unknown,,,,,US,,
Missouri (St. Louis),Missouri (St. Louis),Unknown,,,,,US,,
"Texas (Fort Worth, Arlington, San Antonio)","Texas (Fort Worth, Arlington, San Antonio)",Unknown,,,,,US,,
Washington (Auburn),Washington (Auburn),Unknown,,,,,US,,
Oregon (Portland),Oregon (Portland),Unknown,,,,,US,,
Oklahoma (Tulsa),Oklahoma (Tulsa),Unknown,,,,,US,,
Canada locations too,Canada locations too,Unknown,,,,,US,,
Pick-N-Pull = ~50 yards,Pick-n-Pull (Radius / Schnitzer),Auto U-Pull,https://www.picknpull.com/,N-Pull = ~50 yards,,,US,,
Pic-A-Part (with “C”),Pic-A-Part (with “C”),Unknown,,A-Part (with “C”),,,US,,
Tucson AZ,Tucson AZ,Unknown,,,,,US,,
Sierra Vista AZ,Sierra Vista AZ,Unknown,,,,,US,,
Las Vegas NV,Las Vegas NV,Unknown,,,,,US,,
Amarillo TX,Amarillo TX,Unknown,,,,,US,,
~4 yards,~4 yards,Unknown,,,,,US,,
U-Pick-It (Southwest region),U-Pick-It,Auto U-Pull,,Pick-It (Southwest region),,,US,,
Phoenix,Phoenix,Unknown,,,,,US,,
Glendale,Glendale,Unknown,,,,,US,,
Mesa,Mesa,Unknown,,,,,US,,
~3 yards,~3 yards,Unknown,,,,,US,,
Pull-N-Save (AZ + CO),Pull-N-Save,Auto U-Pull,,N-Save (AZ + CO),,,US,,
Glendale AZ,Glendale AZ,Unknown,,,,,US,,
Phoenix AZ,Phoenix AZ,Unknown,,,,,US,,
Aurora CO,Aurora CO,Unknown,,,,,US,,
Colorado Springs CO,Colorado Springs CO,Unknown,,,,,US,,
~4 yards,~4 yards,Unknown,,,,,US,,
Pick-Your-Part (not LKQ — various independents),LKQ Corporation,Auto U-Pull,https://www.lkqcorp.com/,Your-Part (not LKQ — various independents),,,US,,
~8 yards nationwide,~8 yards nationwide,Unknown,,,,,US,,
A-1 Self-Service Junkyard groups,A-1 Self-Service Junkyard groups,Unknown,,1 Self-Service Junkyard groups,,,US,,
~6–8 yards,~6–8 yards,Unknown,,8 yards,,,US,,
Jerry Car Used Auto & U-Pull-It,Independent U-Pull-It,Auto U-Pull,,Pull-It,,,US,,
Regional Midwest,Regional Midwest,Unknown,,,,,US,,
~3 yards,~3 yards,Unknown,,,,,US,,
Regional chain subtotal = ~90 yards,Regional chain subtotal = ~90 yards,Unknown,,,,,US,,
🟦 3. Independently Owned U-Pull-It Yards (Nationwide),Independent U-Pull-It,Auto U-Pull,,Pull-It Yards (Nationwide),,,US,,
(These are the random one-off or 2-store shops everywhere.),(These are the random one-off or 2-store shops everywhere.),Unknown,,off or 2-store shops everywhere.),,,US,,
Southeast,Southeast,Unknown,,,,,US,,
Brandon Auto Salvage (FL),Brandon Auto Salvage (FL),Scrap Yard,,,,,US,,
U-Pull-It Pensacola (FL),Independent U-Pull-It,Auto U-Pull,,Pull-It Pensacola (FL),,,US,,
Jack’s Auto Salvage (GA),Jack’s Auto Salvage (GA),Scrap Yard,,,,,US,,
Express Pull-A-Part (SC),"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part (SC),,,US,,
Gibson Auto Parts (NC),Gibson Auto Parts (NC),Unknown,,,,,US,,
Butler Auto Recycling (FL),Butler Auto Recycling (FL),Scrap Yard,,,,,US,,
T&H Auto Salvage,T&H Auto Salvage,Scrap Yard,,,,,US,,
Highway 67 Auto Salvage,Highway 67 Auto Salvage,Scrap Yard,,,,,US,,
~25 independents SE,~25 independents SE,Unknown,,,,,US,,
Midwest,Midwest,Unknown,,,,,US,,
Wrench-A-Part (IL),Wrench-A-Part,Auto U-Pull,https://www.wrenchapart.com/,A-Part (IL),,,US,,
Neal’s U-Pull-It (IN),Independent U-Pull-It,Auto U-Pull,,Pull-It (IN),,,US,,
Joe’s U-Pull-It (IL),Independent U-Pull-It,Auto U-Pull,,Pull-It (IL),,,US,,
Speedway Salvage (IN),Speedway Salvage (IN),Unknown,,,,,US,,
National Auto Parts (OH),National Auto Parts (OH),Unknown,,,,,US,,
U-Pull-It Milwaukee,Independent U-Pull-It,Auto U-Pull,,Pull-It Milwaukee,,,US,,
Ray’s U-Pull-It (WI),Independent U-Pull-It,Auto U-Pull,,Pull-It (WI),,,US,,
Superior Auto Salvage (MI),Superior Auto Salvage (MI),Scrap Yard,,,,,US,,
~20 independents Midwest,~20 independents Midwest,Unknown,,,,,US,,
Northeast,Northeast,Unknown,,,,,US,,
Joe’s U-Pull-It (PA),Independent U-Pull-It,Auto U-Pull,,Pull-It (PA),,,US,,
EZ Pull & Save (PA),EZ Pull & Save (PA),Unknown,,,,,US,,
Harry’s U-Pull-It (PA),Independent U-Pull-It,Auto U-Pull,,Pull-It (PA),,,US,,
Jack’s Used Auto Parts (NY),Jack’s Used Auto Parts (NY),Unknown,,,,,US,,
Chuck’s Auto Salvage (PA/NJ),Chuck’s Auto Salvage (PA/NJ),Scrap Yard,,,,,US,,
Sam’s Pull-A-Part (NJ),"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part (NJ),,,US,,
~20 independents NE,~20 independents NE,Unknown,,,,,US,,
West,West,Unknown,,,,,US,,
Ecology Auto Wrecking (CA — self-service division),Ecology Auto Wrecking (CA — self-service division),Scrap Yard,,service division),,,US,,
Gardena U-Pull-It (CA),Independent U-Pull-It,Auto U-Pull,,Pull-It (CA),,,US,,
Victorville Auto Wrecking (CA),Victorville Auto Wrecking (CA),Scrap Yard,,,,,US,,
All Auto Salvage (WA),All Auto Salvage (WA),Scrap Yard,,,,,US,,
Pull-A-Part Las Vegas (independent),"Pull-A-Part, LLC",Auto U-Pull,https://www.pullapart.com/,A-Part Las Vegas (independent),,,US,,
Pick-A-Part Moreno Valley (CA),Independent Pick-A-Part,Auto U-Pull,,A-Part Moreno Valley (CA),,,US,,
~25 independents West,~25 independents West,Unknown,,,,,US,,
Southern & Southwest,Southern & Southwest,Unknown,,,,,US,,
Pick-Your-Part Albuquerque (independent),Pick-Your-Part Albuquerque (independent),Unknown,,Your-Part Albuquerque (independent),,,US,,
Brown’s U-Pull-It (OK),Independent U-Pull-It,Auto U-Pull,,Pull-It (OK),,,US,,
U-Pull-It Amarillo (TX),Independent U-Pull-It,Auto U-Pull,,Pull-It Amarillo (TX),,,US,,
